iter	RMSE
325	37.13014743
326	36.77066395
327	36.27330476
328	35.34489138
329	34.98722193
330	34.52831882
331	34.26149118
332	33.45763066
333	33.04925752
334	32.33302017
335	32.19225172
336	31.48496198
337	31.07187686
338	30.61282726
339	30.49600579
340	30.11431445
341	29.84399476
342	29.58269203
343	28.9507544
344	28.71157062
345	28.31872416
346	28.10824773
347	27.86235236
348	27.6862762
349	27.47753846
350	27.36928735
351	27.11040196
352	26.69676362
353	26.30550596
354	25.98183693
355	25.90930152
356	25.69281238
357	25.67986063
358	25.38819718
359	25.33103909
360	25.06453596
361	24.73586709
362	24.52765206
363	24.51476839
364	24.07015379
365	23.88436957
366	23.71668622
367	23.41789269
368	23.16939681
369	22.93957355
370	22.67321601
371	22.53122081
372	22.3215577
373	22.19402705
374	21.94722183
375	21.76943074
376	21.60454165
377	21.42082486
378	21.36442667
379	21.1931292
380	21.13354334
381	21.06476893
382	21.01465089
383	20.89153722
384	20.73421231
385	20.57430436
386	20.4261937
387	20.36853674
388	20.31395299
389	20.27634116
390	20.14233308
391	20.10106917
392	20.06410692
393	20.01205678
394	19.98164545
395	19.76037214
396	19.6374938
397	19.33621461
398	19.17193589
399	19.14021321
400	19.02770576
401	18.83968368
402	18.79558025
403	18.60641542
404	18.57862028
405	18.45834337
406	18.41712639
407	18.24925067
408	18.17162145
409	18.04209965
410	17.92358787
411	17.80146816
412	17.71028961
413	17.59561477
414	17.47717716
415	17.35255679
416	17.24090231
417	17.13889495
418	17.02237154
419	16.88791055
420	16.78054515
421	16.63843201
422	16.54317091
423	16.41829394
424	16.19587324
425	15.99077421
426	15.90121931
427	15.7806968
428	15.68264473
429	15.60100091
430	15.40599643
431	15.22565246
432	15.05859327
433	14.9035901
434	14.82108443
435	14.67560632
436	14.50741018
437	14.42977707
438	14.35665904
439	14.26986852
440	14.16340375
441	14.09382472
442	14.02822725
443	13.9653799
444	13.8650942
445	13.78385906
446	13.63203493
447	13.48930685
448	13.34332425
449	13.20152969
450	13.10040281
451	12.95623042
452	12.83260566
453	12.74823738
454	12.67054668
455	12.55270582
456	12.41218509
457	12.15972004
458	12.07887
459	11.8415456
460	11.63849246
461	11.41637697
462	11.32383293
463	11.17499527
464	11.10567734
465	10.90005134
466	10.81942681
467	10.75822777
468	10.65856366
469	10.48158645
470	10.3148787
471	10.25077606
472	10.18737104
473	10.15430111
474	10.09499753
475	10.06497077
476	10.00804465
477	9.953634947
478	9.902711663
479	9.844778327
480	9.72688099
481	9.665564879
482	9.565175731
483	9.521925194
484	9.390425356
485	9.336732503
486	9.244883131
487	9.197366948
488	9.163560509
489	9.125522739
490	9.08486641
491	8.991368909
492	8.892299214
493	8.856267628
494	8.790092317
495	8.704837617
496	8.623749186
497	8.588771778
498	8.517560078
499	8.426081974
