iter	Passed	Remaining
405	26226	6072
406	26359	6023
407	26499	5975
408	26569	5911
409	26695	5859
410	26811	5806
411	26961	5758
412	27089	5706
413	27182	5646
414	27271	5585
415	27419	5536
416	27565	5486
417	27715	5436
418	27863	5386
419	28028	5338
420	28178	5287
421	28326	5235
422	28470	5182
423	28603	5127
424	28714	5067
425	28800	5002
426	28911	4942
427	29033	4884
428	29136	4822
429	29194	4752
430	29325	4694
431	29419	4630
432	29564	4574
433	29711	4518
434	29816	4455
435	29879	4385
436	29980	4322
437	30074	4257
438	30151	4189
439	30236	4123
440	30385	4065
441	30516	4004
442	30641	3942
443	30747	3878
444	30859	3814
445	30983	3751
446	31146	3692
447	31223	3624
448	31372	3563
449	31506	3500
450	31656	3439
451	31822	3379
452	31928	3312
453	32005	3242
454	32069	3171
455	32126	3099
456	32198	3029
457	32346	2966
458	32510	2903
459	32603	2835
460	32669	2763
461	32731	2692
462	32838	2624
463	32980	2558
464	33081	2490
465	33228	2424
466	33368	2357
467	33519	2291
468	33669	2225
469	33817	2158
470	33948	2090
471	34113	2023
472	34243	1954
473	34407	1887
474	34488	1815
475	34626	1745
476	34775	1676
477	34924	1607
478	35092	1538
479	35190	1466
480	35251	1392
481	35311	1318
482	35393	1245
483	35537	1174
484	35673	1103
485	35754	1029
486	35850	957
487	35968	884
488	36114	812
489	36195	738
490	36337	666
491	36407	591
492	36512	518
493	36617	444
494	36726	370
495	36836	297
496	36951	223
497	37012	148
498	37124	74
499	37196	0
